"Name","dbh_cm","height_m","latitude","longitude"
"Aberdeen",56,28,-33.89252,151.23729
"Adelong",75.4,35.7,-33.89295,151.23669
"Auburn",32.95,28.85,-33.89262,151.237185
"Badgingarra",43.6,23.3,-33.89249,151.23738
"Balmoral",24.05,18.1,-33.89254,151.236805
"Bangalow",9.5,25.5,-33.89293,151.23666
"Barellan",15.6,15.9,-33.89266,151.23626
"Bargo",115.05,60.75,-33.89274,151.236845
"Batlow",83.25,77.75,-33.892665,151.236635
"Baxter",18.05,10.55,-33.892655,151.23743
"Bell",17.5,16.55,-33.89265,151.23721
"Belmont",28.3,14.9,-33.89265,151.23688
"Bemboka",104.05,34.15,-33.892725,151.236465
"Berri",40.55,31.65,-33.89246,151.23699
"Berrima",57,32.4,-33.892405,151.23735
"Berwick",82.8,36.9,-33.89258,151.23695
"Beulah",5.7,6.45,-33.892715,151.236675
"Binda",13.4,11.5,-33.89255,151.2372
"Bindoon",55.1,43.9,-33.89268,151.23686
"Birdwood",18.1,21.4,-33.89242,151.23874
"Bordertown",10.5,6.3,-33.89229,151.23867
"Bothwell",59.5,31.4,-33.89257,151.2373
"Bulli",21.15,19.85,-33.892605,151.23714
"Bundanoon",10.35,6.9,-33.89253,151.237205
"Byrock",142,27.1,-33.89271,151.23629
"Canberra",37.25,24.35,-33.892745,151.237095
"Capel",12.4,13.4,-33.89234,151.23873
"Cherrybrook",26.25,23.75,-33.8923,151.23683
"Clare",31.2,15.45,-33.89227,151.23717
"Cleve",19.4,15.5,-33.892815,151.236935
"Cohuna",141.6,28.3,-33.8924,151.237
"Collector",54.4,17.6,-33.8922,151.23881
"Collie",78.15,40,-33.892545,151.23685
"Coraki",12.7,10.9,-33.89293,151.23695
"Cowes",18.5,12,-33.89251,151.23718
"Daintree",8.9,2.7,-33.89281,151.23597
"Darkan",28.95,20.9,-33.89256,151.236825
"Denham",39.5,35.1,-33.89264,151.23724
"Dover",15.9,12.4,-33.8925,151.23726
"Duaringa",81.5,32.5,-33.89261,151.23679
"Dunkeld",119.2,38.75,-33.89263,151.237035
"Echuca",21.45,13.5,-33.892625,151.23694
"Eldorado",31.55,18.15,-33.892725,151.236605
"Elliston",100.3,52.3,-33.89232,151.2388
"Emerald",33.4,18.3,-33.89297,151.23672
"Euroa",41.7,25.1,-33.892505,151.23739
"Foster",24.35,22.2,-33.892295,151.23679
"Frankston",17.2,9.2,-33.89286,151.2365
"Frederick",28.6,28.1,-33.89228,151.23679
"Gawler",15.6,20,-33.89246,151.23871
"Geelong",14.15,15.55,-33.89274,151.23695
"Gnowangerup",53.8,32.5,-33.89258,151.23672
"Gordonvale",66.2,36.5,-33.89263,151.23668
"Greta",15,15.7,-33.89259,151.23725
"Guildford",64.6,34.9,-33.8927,151.23727
"Gundy",17.8,12.4,-33.8928,151.2365
"Guyra",63.7,42.2,-33.89271,151.23683
"Hahndorf",30.6,5.7,-33.89272,151.2362
"Harrington",28.4,17.85,-33.89267,151.237305
"Herberton",66.8,38.5,-33.89263,151.23707
"Howard",29.4,22.75,-33.892615,151.236925
"Howlong",56.3,35.6,-33.89269,151.2368
"Hyden",18.5,14.6,-33.89307,151.236745
"Iluka",35,12.6,-33.89275,151.23598
"Junee",173.15,26.1,-33.892215,151.238425
"Karratha",33.4,17.6,-33.89289,151.23617
"Keith",59.5,41,-33.89258,151.23716
"Kerang",31.8,40.3,-33.89238,151.23878
"Kimba",25.5,22.95,-33.89213,151.23703
"Koorda",47.1,34.9,-33.89263,151.23709
"Kulin",70.95,66.05,-33.8926,151.236645
"Kurnell",20.1,17.8,-33.89249,151.23665
"Launceston",12.4,11.3,-33.892745,151.236615
"Leeman",31.2,17.8,-33.89259,151.23697
"Leongatha",56,30.9,-33.89269,151.23693
"Licola",10.8,7.7,-33.89304,151.23675
"Lismore",15.9,11.4,-33.8927,151.236975
"Lorne",44.6,21.8,-33.89231,151.23853
"Malmsbury",15.6,6.75,-33.892815,151.235915
"Melrose",9.6,17.1,-33.89245,151.23869
"Miles",16.6,12.3,-33.89243,151.2369
"Millthorpe",77.2,23.9,-33.89275,151.236995
"Milparinka",19.1,38.4,-33.89268,151.23707
"Morpeth",14.3,9.9,-33.892795,151.236845
"Murgon",15,8.7,-33.89302,151.2368
"Murringo",25.5,13.2,-33.89225,151.23611
"Nelson",31.2,19.9,-33.89273,151.2367
"Nimmitabel",91.7,28.8,-33.89281,151.23645
"Noojee",46.8,43.4,-33.89268,151.23692
"Onslow",18.3,14.85,-33.892485,151.237435
"Orford",112.05,38.3,-33.892825,151.237145
"Penrith",36.3,34.1,-33.89272,151.23706
"Picton",50.9,29.7,-33.89257,151.237395
"Quorn",36,23.6,-33.89244,151.23691
"Railton",15,14.1,-33.892525,151.237285
"Roma",16.75,17.45,-33.89264,151.237265
"Rosebud",73.2,52,-33.89221,151.23881
"Rosevears",47.45,24.15,-33.892645,151.2366
"Sarina",70.7,18.2,-33.89275,151.23687
"Seaspray",93.9,37.9,-33.89264,151.23673
"Sevenhill",16.9,9.9,-33.8927,151.2362
"Seymour",61.4,44.6,-33.89282,151.23712
"Silverton",35,30.1,-33.8927,151.23662
"Snowtown",16.4,15.4,-33.89213,151.23705
"Sofala",25,7.3,-33.89254,151.23635
"Talbingo",30.6,25.8,-33.8926,151.23692
"Taroom",54.7,30.7,-33.89269,151.2366
"Thargomindah",92.3,52.8,-33.89217,151.23855
"Toora",81.5,71.55,-33.892575,151.2366
"Toowoomba",21.3,8.4,-33.89269,151.23618
"Toronto",54.4,20.5,-33.89262,151.2373
"Wagin",15.6,17.5,-33.89256,151.23729
"Walhalla",22.1,12.2,-33.89262,151.2369
"Walpole",30.2,20.9,-33.89232,151.23847
"Wauchope",28.55,18,-33.89291,151.237235
"Westbury",11.8,37,-33.89239,151.23869
"Wittenoom",19.75,15.9,-33.892695,151.237265
"Wollombi",49,34.5,-33.89279,151.2365
"Wondai",13.4,15.2,-33.8925,151.23731
"Wudinna",36.3,11.05,-33.89258,151.235895
"Wynyard",81.2,22.2,-33.89311,151.23706
"Yarram",54.1,34.8,-33.89217,151.237
"Yass",29.3,16.8,-33.8922,151.23714
"York",37.6,21.45,-33.8926,151.23689
